Date,Ticker,Close,BBHigh,BBLow,ATR,RsiD,RsiW,RsiM,Sma20,Sma50,Sma150,SwingHigh,SwingLow,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol,RSITrend,PriceTrend,Entry,Target,StopLoss,Shares,Adx_D,Pdi_D,Mdi_D,Market_Decision,Adx_W,Pdi_W,Mdi_W
2026-06-26,ABB.ST,1016,1062.44,939.04,28,55.4,72.25,78.16,1000.74,965.18,816.23,1058.5,940.8,8.2,-4.37,High,High,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,1034.83,1118.83,978.83,3,46.49,25.4,18.83,SELL,46.55,37.07,12.52
2026-06-26,AZN.ST,1829,1809.42,1622.28,41.21,66.36,57.18,59.61,1715.85,1737.14,1750.56,1838.5,1601.5,12.74,1.08,Neutral,High,Neutral,Neutral,WAIT FOR VOLUME,Mixed,1822.67,1946.31,1740.24,2,49.49,44.79,5.56,,40.46,31.16,22.43
2026-06-26,INVE-B.ST,393.3,396.5,371.85,6.48,62.07,67.32,77.05,384.18,378.51,355.18,399.55,372.9,5.77,-0.81,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,394.93,414.37,381.98,15,51.1,33.65,10.58,,42.06,34.65,8.88
2026-06-26,LUG.ST,536,607.64,499.57,25.27,43.09,39.01,53.47,553.6,608.9,702.76,613,501.2,7.29,-11.79,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,533.07,608.88,482.52,3,31.79,22.89,37.61,SELL,42.85,17.92,43.51
2026-06-26,LUMI.ST,233.3,299.13,221.71,11.55,38.77,50,62.73,260.42,257.83,231.4,295.9,222.4,5.23,-22.01,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,232.43,267.08,209.33,8,42.45,15.19,43.01,SELL,26.73,28.54,39.72
2026-06-26,NDA-SE.ST,179.9,183.77,171.92,2.81,56.31,59.79,70.13,177.84,174.74,172.31,184.95,172.35,4.64,-2.11,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,179.73,188.18,174.1,35,30.77,20.77,22.11,SELL,37.95,34.58,11.14
2026-06-26,SAAB-B.ST,487.75,555.43,478.53,19.26,35.1,40.09,54.72,516.98,538.31,586.24,585,480.9,1.93,-12.18,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,488.78,546.55,450.27,5,41.77,8.42,22.38,SELL,35.16,10.98,30.32
2026-06-26,SEB-A.ST,190.8,197.42,177.73,2.9,57.31,55.5,63.48,187.57,184.32,187.52,196,180.35,7.36,-3.35,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Mixed,190.52,199.22,184.72,34,35.08,18.02,26.21,SELL,41.86,32.66,11.11
2026-06-26,SHB-B.ST,233.6,237.77,219.71,3.56,60.77,56.57,65.8,228.74,225.18,227.86,236.4,221.4,6.32,-1.75,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Mixed,234.2,244.87,227.09,28,30.68,21.78,17.93,SELL,32.52,29.04,12.43
2026-06-26,SWED-A.ST,358.5,363.65,326.31,5.95,66.56,66.06,73.85,344.98,335.6,330.12,361.3,331.6,9.86,-1.42,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,358.17,376.02,346.27,16,59.16,38.42,10.33,SELL,40.78,38.54,11.69
2026-06-26,VOLV-B.ST,323.7,331.71,308.94,8.69,53.31,54.58,59.63,320.33,319.87,314.73,332.4,305.3,4.78,-2.42,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Strong Uptrend,327.7,353.78,310.31,11,30.01,29.85,7.55,,16.49,19.45,16.04
