Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-07-08,ABB.ST,985.6,3.73,-8.53,Neutral,Neutral,Neutral,Neutral
2026-07-08,AZN.ST,1833,12.61,-4.18,Neutral,Neutral,Neutral,Neutral
2026-07-08,INVE-B.ST,390.95,4.34,-4.57,Neutral,Neutral,Neutral,Neutral
2026-07-08,LUG.ST,531.4,7.23,-10.34,Neutral,Neutral,Neutral,Neutral
2026-07-08,LUMI.ST,220.5,3.7,-19.19,Neutral,Neutral,Neutral,Neutral
2026-07-08,NDA-SE.ST,185.6,6.82,-2.31,Neutral,Neutral,Neutral,Neutral
2026-07-08,SAAB-B.ST,587.3,28.86,-1.24,Neutral,Neutral,Neutral,Neutral
2026-07-08,SEB-A.ST,198.55,7.8,-1.46,Neutral,Neutral,Neutral,Neutral
2026-07-08,SHB-B.ST,233.2,3.33,-3.22,Neutral,Neutral,Neutral,Neutral
2026-07-08,SWED-A.ST,365.3,7.75,-2.12,Neutral,Neutral,Neutral,Neutral
2026-07-08,VOLV-B.ST,334.5,9.43,-2.57,Neutral,Neutral,Neutral,Neutral
