Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-07-22,ABB.ST,958,1070.23,932.01,1031.46,30.94,42.99,57.84,69.93,1058.5,915,1001.12,995.21,855.74
2026-07-22,AZN.ST,1651.5,1941.04,1536.41,1759.63,55.54,42.81,45.12,51.71,1895.5,1587,1738.72,1726.49,1751.9
2026-07-22,INVE-B.ST,400.4,405.22,389.68,385.78,6,58.86,65.83,77.48,407.65,387.4,397.45,386.65,364.79
2026-07-22,LUG.ST,561,565.28,504.32,577.43,18.86,54.67,43.53,55.09,568.2,507.6,534.8,557.33,675.67
2026-07-22,LUMI.ST,251.5,249.2,219.67,252.1,9.02,56.12,54.67,65.01,253.1,215.9,234.43,251.99,238.85
2026-07-22,NDA-SE.ST,192.65,192.48,179.63,182.83,3.02,71.31,68.49,74.34,193.25,178.2,186.05,180.32,174.84
2026-07-22,SAAB-B.ST,585.5,615.25,475.05,503.19,26.01,62.17,53.18,62.27,630,480.9,545.15,530.61,593.93
2026-07-22,SEB-A.ST,217.7,220.29,183.95,205.64,3.9,77.39,72.08,71.8,218.6,189.2,202.12,192.28,189.76
2026-07-22,SHB-B.ST,230.2,242.03,224.03,238.98,4.84,48.99,52.82,63.6,241.2,222,233.03,229.21,229.42
2026-07-22,SWED-A.ST,370.4,372.39,355.73,353.33,6.59,60.74,67.95,75.15,374.4,350.1,364.06,349.64,338.3
2026-07-22,VOLV-B.ST,343.7,346.61,323.89,319.83,7.14,63.89,62.61,63.24,350.6,319.1,335.25,325.37,321.63
